,PCOS (Y/N)
Follicle No. (R),0.6483269560999776
Follicle No. (L),0.6033461529569701
Skin darkening (Y/N),0.4757330238463864
hair growth(Y/N),0.46466662512200835
Weight gain(Y/N),0.44104726715559506
Cycle(R/I),0.40164375375635886
Fast food (Y/N),0.37793294801489896
Pimples(Y/N),0.28607667713408585
AMH(ng/mL),0.26386340015708215
Weight (Kg),0.21193796580755195
BMI,0.20017568138475852
Cycle length(days),-0.17848004472178902
Hair loss(Y/N),0.17287851079784003
Age (yrs),-0.1685126833773446
Waist(inch),0.16459775149926248
Hip(inch),0.1622971155510002
Avg. F size (L) (mm),0.13299150562500475
Marraige Status (Yrs),-0.11289660614014002
Endometrium (mm),0.10664825094106087
Avg. F size (R) (mm),0.09768980404483951
