feature,coef,abs_coef
num__Follicle No. (R),1.6415583765443555,1.6415583765443555
num__hair growth(Y/N),0.8155102277764353,0.8155102277764353
num__Follicle No. (L),0.7224627618753882,0.7224627618753882
num__Cycle(R/I),0.7011638478955605,0.7011638478955605
num__Weight gain(Y/N),0.6702333183802727,0.6702333183802727
num__Pulse rate(bpm),0.6623956290772194,0.6623956290772194
num__PRG(ng/mL),-0.6035831296037704,0.6035831296037704
num__Skin darkening (Y/N),0.5264562790477366,0.5264562790477366
num__Pimples(Y/N),0.41393695766284055,0.41393695766284055
num__Marraige Status (Yrs),-0.34218831307328074,0.34218831307328074
num__LH(mIU/mL),0.3347417399778955,0.3347417399778955
num__Fast food (Y/N),0.3136502048564171,0.3136502048564171
num__Reg.Exercise(Y/N),0.26003771900232014,0.26003771900232014
num__RBS(mg/dl),0.23097575305560689,0.23097575305560689
num__TSH (mIU/L),0.21941500863982766,0.21941500863982766
